year,ac_no,constituency,constituency_kn,clean_constituency,slug,category,category_kn,winner,winner_kn,winner_party,winner_party_kn,winner_votes,vote_share,runner_up,runner_up_kn,runner_up_party,runner_up_party_kn,runner_up_votes,margin,color
2023,1,Nippani,ನಿಪ್ಪಾಣಿ,nippani,nippani_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Jolle Shashikala Annasaheb,ಜೋಲ್ಲೆ ಶಶಿಕಲಾ ಅಣ್ಣಾಸಾಹೇಬ್,BJP,ಬಿಜೆಪಿ (BJP),73348,39.3,Uttam Raosaheb Patil,ಉತ್ತಮ್ ರಾವ್ಸಾಹೇಬ್ ಪಾಟೀಲ್,NCP,ಎನ್‌ಸಿಪಿ (NCP),66056,7292,#ff7f0e
2023,2,Chikkodi-Sadalga,ಚಿಕ್ಕೋಡಿ - ಸಡಲಗಾ,chikkodisadalga,chikkodisadalga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Ganesh Prakash Hukkeri,ಗಣೇಶ್ ಪ್ರಕಾಶ್ ಹುಕ್ಕೇರಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),128349,70.2,Katti Ramesh Vishwanath,ಕತ್ತಿ ರಮೇಶ್ Vishwanath,BJP,ಬಿಜೆಪಿ (BJP),49840,78509,#1f77b4
2023,3,Athani,ಅಥಣಿ,athani,athani_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Laxman. Sangappa. Savadi,ಲಕ್ಷ್ಮಣ್ ಸಂಗ್ಲಪ್ಪ ಸವದಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),131404,68.7,Mahesh. Irangouda. Kumathalli.,Mahesh Irangouda ಕುಮಟಳ್ಳಿ,BJP,ಬಿಜೆಪಿ (BJP),55282,76122,#1f77b4
2023,4,Kagwad,ಕಾಗವಾಡ,kagwad,kagwad_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Bharamgouda Alagouda Kage,ಭರಮಗೌಡ ಆಲಗೌಡ ಕಾගේ,INC,ಕಾಂಗ್ರೆಸ್ (INC),83387,51.8,Shrimant Balasaheb Patil,Shrimant Balasaheb ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),74560,8827,#1f77b4
2023,5,Kudachi,ಕುಡಚಿ,kudachi,kudachi_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Mahendra. Kallappa. Tammannavar,ಮಹೇಂದ್ರ ಕಲ್ಲಪ್ಪ ತಮ್ಮಣ್ಣವರ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),85321,57.1,P. Rajeev,ಪಿ. Rajeev,BJP,ಬಿಜೆಪಿ (BJP),60078,25243,#1f77b4
2023,6,Raybag,ರಾಯಬಾಗ,raybag,raybag_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Aihole Duryodhan Mahalingappa,ಐಹೊಳೆ ದುರ್ಯೋಧನ ಮಹಾಲಿಂಗಪ್ಪ,BJP,ಬಿಜೆಪಿ (BJP),57500,35.2,Shambhu Kallolikar,Shambhu Kallolikar,IND,ಪಕ್ಷೇತರ (IND),54930,2570,#ff7f0e
2023,7,Hukkeri,ಹುಕ್ಕೇರಿ,hukkeri,hukkeri_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Katti Nikhil Umesh,ಕತ್ತಿ ನಿಖಿಲ್ ಉಮೇಶ್,BJP,ಬಿಜೆಪಿ (BJP),103574,62.1,A.B.Patil,ಎ. ಬಿ. ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),61023,42551,#ff7f0e
2023,8,Arabhavi,ಅರಭಾವಿ,arabhavi,arabhavi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Balachandra Laxmanrao Jarkiholi,ಬಾಲಚಂದ್ರ ಲಕ್ಷ್ಮಣರಾವ್ ಜಾರಕಿಹೊಳಿ,BJP,ಬಿಜೆಪಿ (BJP),115402,61.0,Bhimappa Gundappa Gadad,Bhimappa Gundappa Gadad,IND,ಪಕ್ಷೇತರ (IND),43862,71540,#ff7f0e
2023,9,Gokak,ಗೋಕಾಕ್,gokak,gokak_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Jarkiholi Ramesh Laxmanrao,ಜಾರಕಿಹೊಳಿ ರಮೇಶ್ ಲಕ್ಷ್ಮಣರಾವ್,BJP,ಬಿಜೆಪಿ (BJP),105313,55.6,Kadadi Mahantesh Kallappa,Kadadi Mahantesh ಕಲ್ಲಪ್ಪ,INC,ಕಾಂಗ್ರೆಸ್ (INC),79901,25412,#ff7f0e
2023,10,Yemkanmardi,ಯಮಕನಮರಡಿ,yemkanmardi,yemkanmardi_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Satish Laxmanarao Jarkiholi,ಸತೀಶ್ Laxmanarao ಜಾರಕಿಹೊಳಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),100290,60.6,Basavaraj Hundri,ಬಸವರಾಜ್ Hundri,BJP,ಬಿಜೆಪಿ (BJP),43079,57211,#1f77b4
2023,11,Belgaum Uttar,ಬೆಳಗಾವಿ ಉತ್ತರ,belgaumuttar,belgaum_uttar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Asif (Raju) Sait,ಆಸಿಫ್ ( ರಾಜು ) ಸೇಟ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),69184,46.6,Dr. Ravi B. Patil,ಡಾ. Ravi ಬಿ. ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),64953,4231,#1f77b4
2023,12,Belgaum Dakshin,ಬೆಳಗಾವಿ ದಕ್ಷಿಣ,belgaumdakshin,belgaum_dakshin_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Abhay Patil,ಅಭಯ್ ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),77094,48.9,Ramakant Konduskar,Ramakant Konduskar,IND,ಪಕ್ಷೇತರ (IND),64786,12308,#ff7f0e
2023,13,Belgaum Rural,ಬೆಳಗಾವಿ ಗ್ರಾಮಾಂತರ,belgaumrural,belgaum_rural_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Laxmi R. Hebbalkar,Laxmi ಆರ್. ಹೆಬ್ಬಾಳಕರ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),107619,52.9,Nagesh Annappa Manolkar,Nagesh Annappa Manolkar,BJP,ಬಿಜೆಪಿ (BJP),51603,56016,#1f77b4
2023,14,Khanapur,ಖಾನಾಪುರ,khanapur,khanapur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Vithal Somanna Halagekar,Vithal Somanna Halagekar,BJP,ಬಿಜೆಪಿ (BJP),91834,57.5,Dr. Anjali Hemant Nimbalkar,ಡಾ. Anjali Hemant Nimbalkar,INC,ಕಾಂಗ್ರೆಸ್ (INC),37205,54629,#ff7f0e
2023,15,Kittur,ಕಿತ್ತೂರು,kittur,kittur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Babasaheb Patil,Babasaheb ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),77536,49.7,Doddagoudar Mahantesh Basavantaray,Doddagoudar Mahantesh Basavantaray,BJP,ಬಿಜೆಪಿ (BJP),74543,2993,#1f77b4
2023,16,Bailhongal,ಬೈಲಹೊಂಗಲ,bailhongal,bailhongal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Koujalagi. Mahantesh. Shivanand.,Koujalagi Mahantesh Shivanand,INC,ಕಾಂಗ್ರೆಸ್ (INC),58408,38.6,Jagdish Channappa Metgud,Jagdish Channappa Metgud,BJP,ಬಿಜೆಪಿ (BJP),55630,2778,#1f77b4
2023,17,Saundatti Yellamma,Saundatti Yellamma,saundattiyellamma,saundatti_yellamma_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Vishwas Vasant Vaidya,Vishwas Vasant Vaidya,INC,ಕಾಂಗ್ರೆಸ್ (INC),71224,43.8,Mamani Ratna Anand @ Vishwanath,ಮಾಮನಿ Ratna ಆನಂದ್ Vishwanath,BJP,ಬಿಜೆಪಿ (BJP),56529,14695,#1f77b4
2023,18,Ramdurg,ರಾಮದುರ್ಗ,ramdurg,ramdurg_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Ashok Mahadevappa Pattan,Ashok ಮಹಾದೇವಪ್ಪ Pattan,INC,ಕಾಂಗ್ರೆಸ್ (INC),80294,52.7,Chikkarevanna,Chikkarevanna,BJP,ಬಿಜೆಪಿ (BJP),68564,11730,#1f77b4
2023,19,Mudhol,ಮುಧೋಳ,mudhol,mudhol_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Timmapur. Ramappa. Balappa.,Timmapur Ramappa ಬಾಳಪ್ಪ,INC,ಕಾಂಗ್ರೆಸ್ (INC),77298,49.0,Govind Makthappa Karjol,Govind Makthappa Karjol,BJP,ಬಿಜೆಪಿ (BJP),59963,17335,#1f77b4
2023,20,Terdal,ತೇರದಾಳ,terdal,terdal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Siddu Savadi,ಸಿದ್ದು ಸವದಿ,BJP,ಬಿಜೆಪಿ (BJP),77265,43.2,Siddu.Ramappa.Konnur.,ಸಿದ್ದು Ramappa Konnur,INC,ಕಾಂಗ್ರೆಸ್ (INC),66520,10745,#ff7f0e
2023,21,Jamkhandi,ಜಮಖಂಡಿ,jamkhandi,jamkhandi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Jagadeesh Shivayya Gudagunti,Jagadeesh Shivayya Gudagunti,BJP,ಬಿಜೆಪಿ (BJP),81937,49.2,Anand Siddu Nyamagouda,ಆನಂದ್ ಸಿದ್ದು Nyamagouda,INC,ಕಾಂಗ್ರೆಸ್ (INC),77221,4716,#ff7f0e
2023,22,Bilgi,Bilgi,bilgi,bilgi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,J. T. Patil.,ಜೆ. ಟಿ. ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),95652,52.1,Nirani Muragesh Rudrappa,Nirani Muragesh Rudrappa,BJP,ಬಿಜೆಪಿ (BJP),84523,11129,#1f77b4
2023,23,Badami,ಬಾದಾಮಿ,badami,badami_assembly_constituency,nan,ಸಾಮಾನ್ಯ,B.B.Chimmanakatti,ಬಿ. ಬಿ. Chimmanakatti,INC,ಕಾಂಗ್ರೆಸ್ (INC),65845,39.3,Shanthagouda Thirthgouda Patil.,Shanthagouda Thirthgouda ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),56120,9725,#1f77b4
2023,24,Bagalkot,ಬಾಗಲಕೋಟೆ,bagalkot,bagalkot_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Meti. Hullappa. Yamanappa,Meti Hullappa Yamanappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),79336,46.9,Veerabhadrayya (Veeranna) Charantimath,Veerabhadrayya ( Veeranna ) Charantimath,BJP,ಬಿಜೆಪಿ (BJP),73458,5878,#1f77b4
2023,25,Hungund,ಹುನಗುಂದ,hungund,hungund_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Kashappanavara Vijayanand Shivashankrappa,Kashappanavara Vijayanand Shivashankrappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),78434,47.7,Doddanagouda G Patil,Doddanagouda ಜಿ. ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),48427,30007,#1f77b4
2023,26,Muddebihal,Muddebihal,muddebihal,muddebihal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Appaji. Aliyas. Channabasavaraj. S/O Shankarao. Nadagouda.,Appaji Aliyas Channabasavaraj ಎಸ್. ಓ. Shankarao Nadagouda,INC,ಕಾಂಗ್ರೆಸ್ (INC),79483,51.7,A. S. Patil (Nadahalli),ಎ. ಎಸ್. ಪಾಟೀಲ್ ( Nadahalli ),BJP,ಬಿಜೆಪಿ (BJP),71846,7637,#1f77b4
2023,27,Devara Hippargi,Devara Hippargi,devarahippargi,devara_hippargi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Bhimanagouda (Rajugouda) Basanagouda Patil,Bhimanagouda ( Rajugouda ) Basanagouda ಪಾಟೀಲ್,JD(S),ಜೆಡಿಎಸ್ (JD-S),65952,43.6,Somanagouda B. Patil (Sasanur),Somanagouda ಬಿ. ಪಾಟೀಲ್ ( Sasanur ),BJP,ಬಿಜೆಪಿ (BJP),45777,20175,#31a354
2023,28,Basavana Bagevadi,Basavana Bagevadi,basavanabagevadi,basavana_bagevadi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Shivanand Patil,Shivanand ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),68126,43.2,Bellubbi Sangappa Kallappa,Bellubbi ಸಂಗ್ಲಪ್ಪ ಕಲ್ಲಪ್ಪ,BJP,ಬಿಜೆಪಿ (BJP),43263,24863,#1f77b4
2023,29,Babaleshwar,Babaleshwar,babaleshwar,babaleshwar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,M B Patil.,ಎಂ. ಬಿ. ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),93923,52.6,Vijayakumar (Vijayagouda) Patil,Vijayakumar ( Vijayagouda ) ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),78707,15216,#1f77b4
2023,30,Bijapur City,Bijapur City,bijapurcity,bijapur_city_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Basanagouda R Patil (Yatnal),Basanagouda ಆರ್. ಪಾಟೀಲ್ ( Yatnal ),BJP,ಬಿಜೆಪಿ (BJP),94211,51.7,Abdul Hameed Khajasab Musharif,Abdul Hameed Khajasab Musharif,INC,ಕಾಂಗ್ರೆಸ್ (INC),85978,8233,#ff7f0e
2023,31,Nagthan,Nagthan,nagthan,nagthan_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Katakadhond Vitthal Dondiba,Katakadhond Vitthal Dondiba,INC,ಕಾಂಗ್ರೆಸ್ (INC),78990,44.0,Sanjeev Malasiddappa Aihole,Sanjeev Malasiddappa ಐಹೊಳೆ,BJP,ಬಿಜೆಪಿ (BJP),48175,30815,#1f77b4
2023,32,Indi,Indi,indi,indi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Yashavantaraygoud. Vittalagoud. Patil,Yashavantaraygoud Vittalagoud ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),71785,39.9,B. D. Patil (Hanjagi),ಬಿ. ಡಿ. ಪಾಟೀಲ್ ( Hanjagi ),JD(S),ಜೆಡಿಎಸ್ (JD-S),61456,10329,#1f77b4
2023,33,Sindgi,Sindgi,sindgi,sindgi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Ashok Mallappa Managuli,Ashok Mallappa Managuli,INC,ಕಾಂಗ್ರೆಸ್ (INC),87621,50.8,Bhusanur Ramesh Balappa,Bhusanur ರಮೇಶ್ ಬಾಳಪ್ಪ,BJP,ಬಿಜೆಪಿ (BJP),79813,7808,#1f77b4
2023,34,Afzalpur,ಅಫ್ಜಲ್ ಪುರ,afzalpur,afzalpur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,M.Y.Patil,ಎಂ. ವೈ. ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),56313,35.5,Nitin Venkayya Guttedar,Nitin Venkayya ಗುತ್ತೇದಾರ್,IND,ಪಕ್ಷೇತರ (IND),51719,4594,#1f77b4
2023,35,Jevargi,Jevargi,jevargi,jevargi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Ajay Singh,Ajay Singh,INC,ಕಾಂಗ್ರೆಸ್ (INC),70810,42.6,Doddappagouda,Doddappagouda,JD(S),ಜೆಡಿಎಸ್ (JD-S),60532,10278,#1f77b4
2023,36,Shorapur,ಶೋರಾಪುರ,shorapur,shorapur_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Raja Venkatappa Naik,Raja Venkatappa ನಾಯಕ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),113559,55.1,Narasimhanayak (Rajugouda),Narasimhanayak ( Rajugouda ),BJP,ಬಿಜೆಪಿ (BJP),88336,25223,#1f77b4
2023,37,Shahapur,ಶಹಾಪುರ,shahapur,shahapur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Sharanabasappa Darshanapur,Sharanabasappa Darshanapur,INC,ಕಾಂಗ್ರೆಸ್ (INC),78353,47.4,Ameenraddi Yalagi,Ameenraddi Yalagi,BJP,ಬಿಜೆಪಿ (BJP),52326,26027,#1f77b4
2023,38,Yadgir,ಯಾದಗಿರಿ,yadgir,yadgir_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Channareddy Patil Tunnur,Channareddy ಪಾಟೀಲ್ Tunnur,INC,ಕಾಂಗ್ರೆಸ್ (INC),53802,35.1,Venkatreddy Mudnal,Venkatreddy Mudnal,BJP,ಬಿಜೆಪಿ (BJP),50129,3673,#1f77b4
2023,39,Gurmitkal,ಗುರಮಿಟ್ಕಲ್,gurmitkal,gurmitkal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Sharana Gowda Kandakur,Sharana ಗೌಡ Kandakur,JD(S),ಜೆಡಿಎಸ್ (JD-S),72297,44.9,Baburao Chinchansoor,Baburao Chinchansoor,INC,ಕಾಂಗ್ರೆಸ್ (INC),69718,2579,#31a354
2023,40,Chittapur,Chittapur,chittapur,chittapur_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Priyank Kharge,ಪ್ರಿಯಾಂಕ್ ಖರ್ಗೆ,INC,ಕಾಂಗ್ರೆಸ್ (INC),81323,53.4,Manikanta Rathod,Manikanta Rathod,BJP,ಬಿಜೆಪಿ (BJP),67683,13640,#1f77b4
2023,41,Sedam,ಸೇಡಂ,sedam,sedam_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Dr. Sharanprakash Rudrappa Patil,ಡಾ. Sharanprakash Rudrappa ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),93377,53.3,Rajkumar Patil Telkur,Rajkumar ಪಾಟೀಲ್ Telkur,BJP,ಬಿಜೆಪಿ (BJP),49816,43561,#1f77b4
2023,42,Chincholi,ಚಿಂಚೋಳಿ,chincholi,chincholi_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Avinash Umesh Jadhav,Avinash ಉಮೇಶ್ Jadhav,BJP,ಬಿಜೆಪಿ (BJP),69963,47.0,Subhash V Rathod,Subhash ವಿ. Rathod,INC,ಕಾಂಗ್ರೆಸ್ (INC),69105,858,#ff7f0e
2023,43,Gulbarga Rural,ಕಲಬುರಗಿ ಗ್ರಾಮಾಂತರ,gulbargarural,gulbarga_rural_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Basawaraj Mattimudu,Basawaraj Mattimudu,BJP,ಬಿಜೆಪಿ (BJP),84466,52.4,Revu Naik Belamagi,Revu ನಾಯಕ್ Belamagi,INC,ಕಾಂಗ್ರೆಸ್ (INC),71839,12627,#ff7f0e
2023,44,Gulbarga Dakshin,ಕಲಬುರಗಿ ದಕ್ಷಿಣ,gulbargadakshin,gulbarga_dakshin_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Allamprabhu Patil,Allamprabhu ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),87345,55.2,Dattatreya.C. Patil Revoor Appugouda,Dattatreya ಸಿ. ಪಾಟೀಲ್ Revoor Appugouda,BJP,ಬಿಜೆಪಿ (BJP),66297,21048,#1f77b4
2023,45,Gulbarga Uttar,ಕಲಬುರಗಿ ಉತ್ತರ,gulbargauttar,gulbarga_uttar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Kaneez Fatima,Kaneez Fatima,INC,ಕಾಂಗ್ರೆಸ್ (INC),80973,45.5,Chandrakant B. Patil (Chandu Patil),Chandrakant ಬಿ. ಪಾಟೀಲ್ ( Chandu ಪಾಟೀಲ್ ),BJP,ಬಿಜೆಪಿ (BJP),78261,2712,#1f77b4
2023,46,Alland,ಆಳಂದ,alland,alland_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Bhojaraj,ಭೋಜರಾಜ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),89508,51.7,Subhash Guttedar,Subhash ಗುತ್ತೇದಾರ್,BJP,ಬಿಜೆಪಿ (BJP),79160,10348,#1f77b4
2023,47,Basavakalyan,ಬಸವಕಲ್ಯಾಣ,basavakalyan,basavakalyan_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Sharanu Salagar,Sharanu Salagar,BJP,ಬಿಜೆಪಿ (BJP),92920,52.9,Vijay Singh,Vijay Singh,INC,ಕಾಂಗ್ರೆಸ್ (INC),78505,14415,#ff7f0e
2023,48,Humnabad,ಹುಮ್ನಾಬಾದ್,humnabad,humnabad_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Siddu Patil,ಸಿದ್ದು ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),75515,42.4,Rajashekhar Basavaraj Patil,Rajashekhar ಬಸವರಾಜ್ ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),73921,1594,#ff7f0e
2023,49,Bidar South,ಬೀದರ್ ದಕ್ಷಿಣ,bidarsouth,bidar_south_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Dr. Shailendra Beldale,ಡಾ. Shailendra Beldale,BJP,ಬಿಜೆಪಿ (BJP),49872,32.7,Ashok Kheny,Ashok Kheny,INC,ಕಾಂಗ್ರೆಸ್ (INC),48609,1263,#ff7f0e
2023,50,Bidar,ಬೀದರ್,bidar,bidar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Rahim Khan,Rahim Khan,INC,ಕಾಂಗ್ರೆಸ್ (INC),69165,46.2,Suryakanth Nagamarpalli,Suryakanth Nagamarpalli,JD(S),ಜೆಡಿಎಸ್ (JD-S),58385,10780,#1f77b4
2023,51,Bhalki,ಭಾಲ್ಕಿ,bhalki,bhalki_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Eshwar Khandre,Eshwar Khandre,INC,ಕಾಂಗ್ರೆಸ್ (INC),99451,57.2,Prakash Khandre,ಪ್ರಕಾಶ್ Khandre,BJP,ಬಿಜೆಪಿ (BJP),71745,27706,#1f77b4
2023,52,Aurad,ಔರಾದ್,aurad,aurad_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Prabhu B Chavan,ಪ್ರಭು ಬಿ. ಚವಾಣ್,BJP,ಬಿಜೆಪಿ (BJP),81382,51.5,Bhimsain Rao Shinde,Bhimsain ರಾವ್ Shinde,INC,ಕಾಂಗ್ರೆಸ್ (INC),71813,9569,#ff7f0e
2023,53,Raichur Rural,ರಾಯಚೂರು ಗ್ರಾಮಾಂತರ,raichurrural,raichur_rural_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Basanagouda Daddal,Basanagouda Daddal,INC,ಕಾಂಗ್ರೆಸ್ (INC),89140,51.9,Tipparaju Hawaldar,Tipparaju Hawaldar,BJP,ಬಿಜೆಪಿ (BJP),75283,13857,#1f77b4
2023,54,Raichur,ರಾಯಚೂರು,raichur,raichur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Dr. Shivaraj Patil,ಡಾ. Shivaraj ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),69655,48.2,Mohammed Shalam,Mohammed Shalam,INC,ಕಾಂಗ್ರೆಸ್ (INC),65923,3732,#ff7f0e
2023,55,Manvi,ಮಾನ್ವಿ,manvi,manvi_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),G Hampayya Nayak,ಜಿ. Hampayya Nayak,INC,ಕಾಂಗ್ರೆಸ್ (INC),66922,42.8,A Bhagavantaray,ಎ. Bhagavantaray,BJP,ಬಿಜೆಪಿ (BJP),59203,7719,#1f77b4
2023,56,Devadurga,ದೇವದುರ್ಗ,devadurga,devadurga_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Karemma,Karemma,JD(S),ಜೆಡಿಎಸ್ (JD-S),99544,57.7,Shivanagouda,Shivanagouda,BJP,ಬಿಜೆಪಿ (BJP),65288,34256,#31a354
2023,57,Lingsugur,Lingsugur,lingsugur,lingsugur_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Manappa D Vajjal,Manappa ಡಿ. Vajjal,BJP,ಬಿಜೆಪಿ (BJP),58769,34.0,D.S.Hulageri,ಡಿ. ಎಸ್. Hulageri,INC,ಕಾಂಗ್ರೆಸ್ (INC),55960,2809,#ff7f0e
2023,58,Sindhanur,ಸಿಂಧನೂರು,sindhanur,sindhanur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Hampanagouda Badarli,Hampanagouda Badarli,INC,ಕಾಂಗ್ರೆಸ್ (INC),73645,42.2,K. Kariyappa,ಕೆ. Kariyappa,BJP,ಬಿಜೆಪಿ (BJP),51703,21942,#1f77b4
2023,59,Maski,ಮಾಸ್ಕಿ,maski,maski_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Basan Gouda Turvihal,Basan Gouda Turvihal,INC,ಕಾಂಗ್ರೆಸ್ (INC),79566,53.2,Pratapgouda Patil,Pratapgouda ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),66513,13053,#1f77b4
2023,60,Kushtagi,ಕುಷ್ಟಗಿ,kushtagi,kushtagi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Doddanagouda Hanamagouda Patil,Doddanagouda Hanamagouda ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),92915,51.2,Amaregouda Linganagouda Patil Bayyapur,Amaregouda Linganagouda ಪಾಟೀಲ್ Bayyapur,INC,ಕಾಂಗ್ರೆಸ್ (INC),83269,9646,#ff7f0e
2023,61,Kanakagiri,ಕನಕಗಿರಿ,kanakagiri,kanakagiri_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Tangadagi Shivaraj Sangappa,Tangadagi Shivaraj ಸಂಗ್ಲಪ್ಪ,INC,ಕಾಂಗ್ರೆಸ್ (INC),106164,60.7,Basavaraj Dadesugur,ಬಸವರಾಜ್ Dadesugur,BJP,ಬಿಜೆಪಿ (BJP),63532,42632,#1f77b4
2023,62,Gangavathi,ಗಂಗಾವತಿ,gangavathi,gangavathi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,G Janardhan Reddy,ಜಿ. Janardhan ರೆಡ್ಡಿ,KRPP,ಕೆಆರ್‌ಪಿಪಿ (KRPP),66213,41.5,Iqbal Ansari,Iqbal Ansari,INC,ಕಾಂಗ್ರೆಸ್ (INC),57947,8266,#9467bd
2023,63,Yelburga,ಯಲಬುರ್ಗಾ,yelburga,yelburga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Basavaraj Rayareddi,ಬಸವರಾಜ್ Rayareddi,INC,ಕಾಂಗ್ರೆಸ್ (INC),94330,53.8,Achar Halappa Basappa,Achar Halappa Basappa,BJP,ಬಿಜೆಪಿ (BJP),77149,17181,#1f77b4
2023,64,Koppal,ಕೊಪ್ಪಳ,koppal,koppal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,K. Raghavendra Basavaraj Hitnal,ಕೆ. Raghavendra ಬಸವರಾಜ್ Hitnal,INC,ಕಾಂಗ್ರೆಸ್ (INC),90430,46.8,Karadi Manjula,Karadi Manjula,BJP,ಬಿಜೆಪಿ (BJP),54170,36260,#1f77b4
