year,ac_no,constituency,constituency_kn,clean_constituency,slug,category,category_kn,winner,winner_kn,winner_party,winner_party_kn,winner_votes,vote_share,runner_up,runner_up_kn,runner_up_party,runner_up_party_kn,runner_up_votes,margin,color
1999,42,Mayakonda,ಮಾಯಾಕೊಂಡ,mayakonda,mayakonda_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Sa Ravindranatha,Sa Ravindranatha,BJP,ಬಿಜೆಪಿ (BJP),46917,41.8,Kr Jayadevappa,Kr Jayadevappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),32720,14197,#ff7f0e
1999,43,Bharamasagara,Bharamasagara,bharamasagara,bharamasagara_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),M Chandrappa,ಎಂ. Chandrappa,JD(U),JD(U),37194,39.9,H Anjaneya,ಎಚ್. Anjaneya,INC,ಕಾಂಗ್ರೆಸ್ (INC),28240,8954,#64748b
1999,44,Chitradurga,ಚಿತ್ರದುರ್ಗ,chitradurga,chitradurga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Gh Thippa Reddy,Gh Thippa ರೆಡ್ಡಿ,IND,ಪಕ್ಷೇತರ (IND),51198,49.0,H Ekanthaiah,ಎಚ್. Ekanthaiah,IND,ಪಕ್ಷೇತರ (IND),24782,26416,#7f7f7f
1999,45,Jagalur,ಜಗಳೂರು,jagalur,jagalur_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Gh Aswath Reddy,Gh Aswath ರೆಡ್ಡಿ,IND,ಪಕ್ಷೇತರ (IND),48865,51.5,M Basappa,ಎಂ. Basappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),25097,23768,#7f7f7f
1999,46,Molakalmuru,ಮೊಳಕಾಲ್ಮೂರು,molakalmuru,molakalmuru_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Ny Gopala Krishna,Ny Gopala Krishna,INC,ಕಾಂಗ್ರೆಸ್ (INC),44296,44.7,Patel Gm Thippeswamy,Patel Gm Thippeswamy,JD(U),JD(U),30115,14181,#1f77b4
1999,47,Challakere,ಚಳ್ಳಕೆರೆ,challakere,challakere_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),G Basavaraj Mandimutt,ಜಿ. ಬಸವರಾಜ್ Mandimutt,BJP,ಬಿಜೆಪಿ (BJP),26517,25.8,Thippeswamy,Thippeswamy,JD(S),ಜೆಡಿಎಸ್ (JD-S),17665,8852,#ff7f0e
1999,48,Hiriyur,ಹಿರಿಯೂರು,hiriyur,hiriyur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Kh Ranganath,Kh Ranganath,INC,ಕಾಂಗ್ರೆಸ್ (INC),45415,48.0,D Manjunath,ಡಿ. Manjunath,JD(S),ಜೆಡಿಎಸ್ (JD-S),35755,9660,#1f77b4
1999,49,Holalkere,ಹೊಳಲ್ಕೆರೆ,holalkere,holalkere_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),P Ramesh,ಪಿ. ರಮೇಶ್,BJP,ಬಿಜೆಪಿ (BJP),50121,48.4,Av Umapathi,Av Umapathi,IND,ಪಕ್ಷೇತರ (IND),48666,1455,#ff7f0e
1999,50,Hosadurga,ಹೊಸದುರ್ಗ,hosadurga,hosadurga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Bg Govindappa,Bg Govindappa,IND,ಪಕ್ಷೇತರ (IND),26372,24.1,Elkal Vijayakumar,Elkal Vijayakumar,IND,ಪಕ್ಷೇತರ (IND),25145,1227,#7f7f7f
1999,51,Pavagada,ಪಾವಗಡ,pavagada,pavagada_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Venkataramanappa,Venkataramanappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),65999,53.4,Somlanaika,Somlanaika,JD(U),JD(U),44897,21102,#1f77b4
1999,52,Sira,ಸಿರಾ,sira,sira_assembly_constituency,nan,ಸಾಮಾನ್ಯ,P.M. Ranganath,ಪಿ. ಎಂ. Ranganath,INC,ಕಾಂಗ್ರೆಸ್ (INC),42263,43.7,B. Satyanarayana,ಬಿ. Satyanarayana,JD(S),ಜೆಡಿಎಸ್ (JD-S),16609,25654,#1f77b4
1999,53,Kallambella,Kallambella,kallambella,kallambella_assembly_constituency,nan,ಸಾಮಾನ್ಯ,T.B. Jayachandra,ಟಿ. ಬಿ. Jayachandra,INC,ಕಾಂಗ್ರೆಸ್ (INC),44480,48.0,K.S. Kiran Kumar,ಕೆ. ಎಸ್. Kiran ಕುಮಾರ್,BJP,ಬಿಜೆಪಿ (BJP),37365,7115,#1f77b4
1999,54,Bellavi,Bellavi,bellavi,bellavi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,R. Narayana,ಆರ್. Narayana,INC,ಕಾಂಗ್ರೆಸ್ (INC),43803,46.6,V.N. Murthy,ವಿ. ಎನ್. Murthy,BJP,ಬಿಜೆಪಿ (BJP),19707,24096,#1f77b4
1999,55,Madhugiri,ಮಧುಗಿರಿ,madhugiri,madhugiri_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Dr.G. Parameswar,ಡಾ. ಜಿ. Parameswar,INC,ಕಾಂಗ್ರೆಸ್ (INC),71895,68.3,Gangahanumaiah,Gangahanumaiah,JD(S),ಜೆಡಿಎಸ್ (JD-S),16093,55802,#1f77b4
1999,56,Koratagere,ಕೊರಟಗೆರೆ,koratagere,koratagere_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),C. Channigappa,ಸಿ. Channigappa,JD(S),ಜೆಡಿಎಸ್ (JD-S),33558,31.7,C. Veerabhadraiah,ಸಿ. Veerabhadraiah,INC,ಕಾಂಗ್ರೆಸ್ (INC),32852,706,#31a354
1999,57,Tumkur,Tumkur,tumkur,tumkur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,S. Shivanna,ಎಸ್. ಶಿವಣ್ಣ,BJP,ಬಿಜೆಪಿ (BJP),60699,47.0,S. Shafi Ahmed,ಎಸ್. Shafi Ahmed,INC,ಕಾಂಗ್ರೆಸ್ (INC),52111,8588,#ff7f0e
1999,58,Kunigal,ಕುಣಿಗಲ್,kunigal,kunigal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,S.P. Muddahanumagowda,ಎಸ್. ಪಿ. Muddahanumagowda,INC,ಕಾಂಗ್ರೆಸ್ (INC),45659,47.4,H. Ningappa,ಎಚ್. Ningappa,JD(S),ಜೆಡಿಎಸ್ (JD-S),42078,3581,#1f77b4
1999,59,Huliyurdurga,Huliyurdurga,huliyurdurga,huliyurdurga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Y.K. Ramaiah,ವೈ. ಕೆ. Ramaiah,INC,ಕಾಂಗ್ರೆಸ್ (INC),47824,59.8,D. Nagarajaiah,ಡಿ. Nagarajaiah,JD(S),ಜೆಡಿಎಸ್ (JD-S),26259,21565,#1f77b4
1999,60,Gubbi,ಗುಬ್ಬಿ,gubbi,gubbi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,N. Veeranna Gowda,ಎನ್. Veeranna ಗೌಡ,JD(S),ಜೆಡಿಎಸ್ (JD-S),39272,41.9,G.S. Shivananjappa,ಜಿ. ಎಸ್. Shivananjappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),35217,4055,#31a354
1999,61,Turuvekere,ತುರುವೇಕೆರೆ,turuvekere,turuvekere_assembly_constituency,nan,ಸಾಮಾನ್ಯ,M.D. Lakshminarayana (Annaiah),ಎಂ. ಡಿ. Lakshminarayana ( Annaiah ),BJP,ಬಿಜೆಪಿ (BJP),38122,40.5,M.T. Krishnappa,ಎಂ. ಟಿ. Krishnappa,IND,ಪಕ್ಷೇತರ (IND),22790,15332,#ff7f0e
1999,62,Tiptur,ತಿಪಟೂರು,tiptur,tiptur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,K. Shadakshari,ಕೆ. Shadakshari,INC,ಕಾಂಗ್ರೆಸ್ (INC),46489,49.3,B. Nanjamari,ಬಿ. Nanjamari,BJP,ಬಿಜೆಪಿ (BJP),43742,2747,#1f77b4
1999,63,Chiknaikanahalli,Chiknaikanahalli,chiknaikanahalli,chiknaikanahalli_assembly_constituency,nan,ಸಾಮಾನ್ಯ,C.B. Suresh Babu,ಸಿ. ಬಿ. Suresh Babu,JD(S),ಜೆಡಿಎಸ್ (JD-S),43961,49.3,J.C. Madhu Swamy,ಜೆ. ಸಿ. Madhu ಸ್ವಾಮಿ,JD(U),JD(U),29018,14943,#31a354
1999,64,Gauribidanur,ಗೌರಿಬಿದನೂರು,gauribidanur,gauribidanur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,N.H. Shivashankara Reddy,ಎನ್. ಎಚ್. Shivashankara ರೆಡ್ಡಿ,IND,ಪಕ್ಷೇತರ (IND),34541,33.1,S.V. Aswathanarayana Reddy,ಎಸ್. ವಿ. Aswathanarayana ರೆಡ್ಡಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),33679,862,#7f7f7f
1999,65,Chikballapur,Chikballapur,chikballapur,chikballapur_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),K.V. Anasuyamma Natarajan,ಕೆ. ವಿ. Anasuyamma Natarajan,INC,ಕಾಂಗ್ರೆಸ್ (INC),39460,40.3,M. Shivananda,ಎಂ. Shivananda,JD(U),JD(U),26132,13328,#1f77b4
1999,66,Sidlaghatta,ಶಿಡ್ಲಘಟ್ಟ,sidlaghatta,sidlaghatta_assembly_constituency,nan,ಸಾಮಾನ್ಯ,B. Muniyappa,ಬಿ. Muniyappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),60514,54.6,S. Munishamappa,ಎಸ್. Munishamappa,JD(U),JD(U),48049,12465,#1f77b4
1999,67,Bagepalli,ಬಾಗೇಪಲ್ಲಿ,bagepalli,bagepalli_assembly_constituency,nan,ಸಾಮಾನ್ಯ,N. Sampangi N,ಎನ್. Sampangi ಎನ್.,IND,ಪಕ್ಷೇತರ (IND),40183,38.0,Sreerama Reddy G V,Sreerama ರೆಡ್ಡಿ ಜಿ. ವಿ.,CPM,ಸಿಪಿಎಂ (CPM),36885,3298,#7f7f7f
1999,68,Chintamani,ಚಿಂತಾಮಣಿ,chintamani,chintamani_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Chowda Reddy,Chowda ರೆಡ್ಡಿ,IND,ಪಕ್ಷೇತರ (IND),58977,51.4,K M Krishna Reddy,ಕೆ. ಎಂ. Krishna ರೆಡ್ಡಿ,JD(U),JD(U),43315,15662,#7f7f7f
1999,69,Srinivasapur,ಶ್ರೀನಿವಾಸಪುರ,srinivasapur,srinivasapur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,G K Venkatashiva Reddy,ಜಿ. ಕೆ. Venkatashiva ರೆಡ್ಡಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),52490,49.4,Ramesh Kumar,ರಮೇಶ್ ಕುಮಾರ್,IND,ಪಕ್ಷೇತರ (IND),51297,1193,#1f77b4
1999,70,Mulbagal,ಮುಳಬಾಗಿಲು,mulbagal,mulbagal_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),M V Venkatappa,ಎಂ. ವಿ. Venkatappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),39722,35.1,R. Srinivasan,ಆರ್. Srinivasan,JD(S),ಜೆಡಿಎಸ್ (JD-S),27826,11896,#1f77b4
1999,71,Kolar Gold Fields,Kolar Gold Fields,kolargoldfields,kolar_gold_fields_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),M. Backthavachalam,ಎಂ. Backthavachalam,ADMK,ADMK,22255,36.8,Dr. K. Thinagaran,ಡಾ. ಕೆ. Thinagaran,BJP,ಬಿಜೆಪಿ (BJP),18508,3747,#64748b
1999,72,Bethamangala,Bethamangala,bethamangala,bethamangala_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),C Venkateshappa,ಸಿ. Venkateshappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),75844,68.9,M Narayanaswamy,ಎಂ. Narayanaswamy,JD(U),JD(U),32604,43240,#1f77b4
1999,73,Kolar,ಕೋಲಾರ,kolar,kolar_assembly_constituency,nan,ಸಾಮಾನ್ಯ,K Srinivasa Gowda Kudavanhalli,ಕೆ. ಶ್ರೀನಿವಾಸ ಗೌಡ Kudavanhalli,JD(U),JD(U),59017,54.9,Naseer Ahmed,Naseer Ahmed,INC,ಕಾಂಗ್ರೆಸ್ (INC),38004,21013,#64748b
1999,74,Vemgal,Vemgal,vemgal,vemgal_assembly_constituency,nan,ಸಾಮಾನ್ಯ,C Byregowda,ಸಿ. Byregowda,JD(U),JD(U),56449,51.0,V Venkatamuniyappa,ವಿ. Venkatamuniyappa,INC,ಕಾಂಗ್ರೆಸ್ (INC),48892,7557,#64748b
1999,75,Malur,ಮಲೂರು,malur,malur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,A Nagaraju,ಎ. Nagaraju,INC,ಕಾಂಗ್ರೆಸ್ (INC),53762,53.1,S N Ragunatha,ಎಸ್. ಎನ್. Ragunatha,IND,ಪಕ್ಷೇತರ (IND),34474,19288,#1f77b4
